created_at,favorite_count,favorited,filter_level,lang,retweet_count,retweeted,source,text,truncated,user_created_at,user_followers_count,user_location,user_lang,user_name,user_screen_name,user_time_zone,user_utc_offset,user_friends_count
Mon Apr 09 04:09:51 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @_Miaya: YALL LETS GO SEE IT AGAIN https://t.co/4X7HMPUF5s',FALSE,Sun Mar 18 20:26:50 +0000 2012,562,België | Dallas | Denver,fr,b'Shwty J\xc3\xb4',b'asvpxjozy',Central Time (US & Canada),-18000,271
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:51 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>'","b""watched the trailer for pacific rim 2 again and i still think that anyone who didn't like it probably wasnt an evan\xe2\x80\xa6 https://t.co/9Rtrk138QN""",TRUE,Sun Sep 30 00:24:59 +0000 2012,1797,"Hell, TN USA",en,b'Andrea  \xd9\xa9( \xca\x98\xe1\x86\xba\xca\x98 )\xdb\xb6',b'missbonekitty',Eastern Time (US & Canada),-14400,1191
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:52 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>'",b'RT @WarricrAndKing: \xe2\x9d\x9dToday we are all the Black Panther! \n                  And today we will fight as one!\xe2\x80\xa6',FALSE,Sat Mar 10 06:45:10 +0000 2018,264,Central City. [#HeroicPlayer],en,b'August Heart.',b'SpeedAndRevenge',,,408
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:52 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Sun Jul 22 06:04:56 +0000 2012,409,,en,b'bitchesisdevious',b'Jakara_jRabit',Atlantic Time (Canada),-10800,447
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:53 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Mon Oct 24 23:31:02 +0000 2016,76,"Florida, USA",en,b'kayden.',b'iowntha_throne',,,127
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:53 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Sat Jun 02 06:06:32 +0000 2012,1949,"Somewhere Coolin, FL",en,b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',b'TurnDown_Bitch',Eastern Time (US & Canada),-14400,1662
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:53 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @chancetherapper: S/o @Tip forreal. I never knew the founder of The Black Panther Party earned a Ph.D in Social Science from the Univers\xe2\x80\xa6',FALSE,Sun Jul 17 22:39:14 +0000 2011,515,,en,b'kim\xe2\x9c\xa8',b'Kimberlydxo',Hawaii,-36000,347
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:54 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Sat Mar 08 22:15:26 +0000 2014,20159,"New Rochelle, NY",en-gb,b'tenia-mone\xe2\x80\x99t \xe2\x9d\xa3\xef\xb8\x8f',b'teniamonet',Atlantic Time (Canada),-10800,139
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:55 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @MichelleHux: Black Panther just passed Titanic and is now the third highest grossing film of all time in the U.S. \xf0\x9f\x99\x85\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.\xe2\x80\xa6',FALSE,Mon Oct 25 22:11:10 +0000 2010,1020,Hawaii,en,b'RayRay \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe',b'RashonOsborne',Hawaii,-36000,911
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:55 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>'",b'RT @Jasmine_blu: omg look what happened when i was waiting to meet black panther ; w ; \xe2\x99\xa1 https://t.co/QxEsGTQooL',FALSE,Wed Apr 09 01:09:45 +0000 2014,506,62,en,b'i miss hyunghyuk',b'adeurableu',Jakarta,25200,535
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:56 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Wed Oct 03 01:52:45 +0000 2012,544,my feelings,en,b'lil grits',b'lilgrits_',Atlantic Time (Canada),-10800,541
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:56 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Tue Sep 07 02:26:26 +0000 2010,795,uc santa cruz ,en,b'Yesenia',b'YessiiiBoo',Alaska,-28800,435
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:56 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'","b'RT @CNN: ""Black Panther"" passes ""Titanic"" at the box office https://t.co/njHZ5QuKql https://t.co/wnYV0zmxgi'",FALSE,Thu Mar 13 13:18:11 +0000 2014,835,Anywhere But Here,en,b'Alexis\xf0\x9f\xa6\x8b',b'ahlexissss_',,,793
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:57 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Tue May 24 00:33:52 +0000 2011,666,"Charlotte, NC",en,b'slimmy',b'Tierraaaa__',Quito,-18000,174
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:58 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>'",b'RT @chancetherapper: S/o @Tip forreal. I never knew the founder of The Black Panther Party earned a Ph.D in Social Science from the Univers\xe2\x80\xa6',FALSE,Mon Jan 29 00:18:40 +0000 2018,22,"Botswana,Gaborone",en-gb,b'Vapes Freddy',b'freddy_vapes',,,360
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:58 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>'",b'RT @RobIsRandomAF_6: If Black Panther was made in the 90s lol https://t.co/9b81jRetyz',FALSE,Sat Nov 18 19:03:06 +0000 2017,77,,en,b'dd',b'tetrageniot',,,130
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:58 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @DuceVasquez: Black Panther was fake too but OK https://t.co/LHlHCgAG8P',FALSE,Sat Apr 02 19:46:27 +0000 2011,648,pend,en,b'Yo Pierre',b'happiixflacko',,,431
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:09:59 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @MichelleHux: Black Panther just passed Titanic and is now the third highest grossing film of all time in the U.S. \xf0\x9f\x99\x85\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.\xe2\x80\xa6',FALSE,Sun Jun 19 19:30:57 +0000 2011,493,,en,b'Dee B.',b'_iamdeeb',Quito,-18000,71
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:00 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @ChefResha: bloop! https://t.co/SXy8kJIf2W',FALSE,Tue May 31 07:44:34 +0000 2011,352,the island of misfit toys. ,en,b'shuri savage. \xf0\x9f\x90\x99',b'geez_louisee',Quito,-18000,233
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:00 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'","b'RT @CNN: ""Black Panther"" passes ""Titanic"" at the box office https://t.co/njHZ5QuKql https://t.co/wnYV0zmxgi'",FALSE,Sun Jan 17 02:51:39 +0000 2010,5351,Wakanda,fr,b'The Life Of Padrino',b'NegroDu223',UTC,0,1293
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:02 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @MichelleHux: Black Panther just passed Titanic and is now the third highest grossing film of all time in the U.S. \xf0\x9f\x99\x85\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.\xe2\x80\xa6',FALSE,Wed Jan 04 06:34:45 +0000 2012,1646,Chicago ,en,b'\xe2\x99\xa5Conceited Monroe\xe2\x99\xa5',b'ConceitedMonore',Central Time (US & Canada),-18000,2045
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:03 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Tue Jul 05 17:43:52 +0000 2016,76,,en,b'bRUH',b'GC91816',,,403
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:03 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @thatfilmstew: NEW EPISODE! (Listen / download)\nThat Film Stew Ep 116 - Ready Player One Review https://t.co/illJJjCMAm #Podcast #Podcas\xe2\x80\xa6',FALSE,Sun Apr 05 07:18:35 +0000 2015,12729,"Perth, Australia",en,b'The Countdown Pod',b'thecountdownpc',Perth,28800,10300
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:03 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @chancetherapper: S/o @Tip forreal. I never knew the founder of The Black Panther Party earned a Ph.D in Social Science from the Univers\xe2\x80\xa6',FALSE,Sat Oct 17 18:28:31 +0000 2015,378,Bay Area,en,b'Julio \xf0\x9f\xa4\x98\xf0\x9f\x8f\xbe',b'trxll_nij',,,369
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:04 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Wed Jun 02 02:47:06 +0000 2010,554,MX/NCT/RV/SVT/BTS/SHINee,en,b'Mara',b'ultmonsterx',Eastern Time (US & Canada),-14400,145
,,,,,,,,,,,,,,,,,,
